"A2 sentence","B1-A2 transformation","B1 sentence"
"Der Fußball-Klub Rapid hat einen neuen Trainer.","Complex split ","Der österreichische Fußball-Klub Rapid hat mit Ferdinand Feldhofer einen neuen Trainer. "
"Er heißt Ferdinand Feldhofer.","Complex split ","Der österreichische Fußball-Klub Rapid hat mit Ferdinand Feldhofer einen neuen Trainer. "
"Feldhofer übernimmt das Amt von Steffen Hofmann.","Identical ","Feldhofer übernimmt das Amt von Steffen Hofmann. "
"Hofmann hat die Mannschaft vorübergehend trainiert.","Paraphrase ","Hofmann hatte die Mannschaft vorübergehend trainiert. "
"Davor war Dietmar Kühbauer der Trainer von Rapid.","Paraphrase ","Davor war Rapid lange Zeit von Dietmar Kühbauer trainiert worden. "
"Er hatte aber in letzter Zeit keinen Erfolg mehr mit Rapid.","Simple split ","Kühbauer hatte zuletzt aber keinen Erfolg mehr, deshalb musste er Rapid verlassen. "
"Deshalb musste Kühbauer Rapid verlassen.","Simple split ","Kühbauer hatte zuletzt aber keinen Erfolg mehr, deshalb musste er Rapid verlassen. "
"Der neue Trainer Feldhofer hat früher selbst für Rapid gespielt.","Paraphrase ","Der neue Trainer Feldhofer war selbst Spieler bei Rapid. "
"Er hat im Jahr 2005 sogar den Meistertitel geholt.","Simple split ","Er holte dort 2005 den Meister-Titel und trainierte auch schon den Fußball-Klub WAC. "
"Außerdem trainierte er auch schon den Fußball-Klub WAC.","Simple split ","Er holte dort 2005 den Meister-Titel und trainierte auch schon den Fußball-Klub WAC. "
"Feldhofer hat einen Vertrag für 1,5 Jahre unterschrieben.","Paraphrase ","Feldhofer unterschrieb bei Rapid einen Vertrag für 1,5 Jahre. "
"Sein erstes Spiel findet am Sonntag statt.","Paraphrase ","Das erste Spiel für Feldhofer als Rapid-Trainer findet am Sonntag statt. "
"Der Gegner ist die Wiener Austria, der große Rivale von Rapid.","Drop extra info ","Der Gegner ist im Heim-Spiel der große Stadt-Rivale von Rapid: die Austria. "
